Date,Policy Rate,New Loan Rates for Businesses,GSB Lending Rate,GHB Lending Rate,EXIM Lending Rate,SME Bank Lending Rate
1/01/2005,2.00,6.04,5.75,5.50,5.75,6.00
1/02/2005,2.00,5.53,5.75,5.50,5.75,6.00
1/03/2005,2.25,5.50,5.75,5.50,5.75,6.00
1/04/2005,2.25,5.61,5.75,5.50,5.75,6.00
1/05/2005,2.25,5.54,5.75,5.50,5.75,6.00
1/06/2005,2.50,5.65,5.75,5.50,5.75,6.00
1/07/2005,2.75,5.62,5.75,5.50,5.75,6.00
1/08/2005,2.75,5.86,5.75,5.50,5.75,6.00
1/09/2005,3.25,5.97,6.00,6.00,5.75,6.00
1/10/2005,3.75,6.29,6.25,6.25,6.50,6.50
1/11/2005,3.75,6.56,6.25,6.25,6.50,6.50
1/12/2005,4.00,6.92,6.50,6.25,6.75,6.75
1/01/2006,4.25,6.96,6.50,6.75,7.00,6.75
1/02/2006,4.25,6.79,6.75,6.75,7.00,7.00
1/03/2006,4.50,6.92,7.25,7.00,7.25,7.00
1/04/2006,4.75,7.23,7.50,8.00,7.25,7.25
1/05/2006,4.75,7.23,7.50,8.00,7.75,7.50
1/06/2006,5.00,7.18,7.50,8.00,7.75,7.50
1/07/2006,5.00,7.31,7.50,8.00,7.75,7.50
1/08/2006,5.00,7.29,7.75,8.00,7.75,7.50
1/09/2006,5.00,7.23,7.75,8.00,7.75,7.50
1/10/2006,5.00,7.29,7.75,8.00,7.75,7.50
1/11/2006,5.00,7.24,7.75,8.00,7.75,7.50
1/12/2006,5.00,7.55,7.75,8.00,7.75,7.50
1/01/2007,4.75,7.58,7.75,8.00,7.75,7.50
1/02/2007,4.50,7.51,7.75,8.00,7.75,7.50
1/03/2007,4.50,7.36,7.50,8.00,7.75,7.50
1/04/2007,4.00,7.09,7.50,8.00,7.50,7.50
1/05/2007,3.50,6.83,7.25,8.00,7.50,7.50
1/06/2007,3.50,6.64,7.00,8.00,7.00,7.50
1/07/2007,3.25,6.57,7.00,8.00,6.75,7.50
1/08/2007,3.25,6.43,6.87,8.00,6.75,7.50
1/09/2007,3.25,6.36,6.87,8.00,6.75,7.50
1/10/2007,3.25,6.33,6.87,8.00,6.75,7.25
1/11/2007,3.25,6.37,6.87,8.00,6.75,7.25
1/12/2007,3.25,6.81,6.87,8.00,6.75,7.25
1/01/2008,3.25,6.33,6.87,8.00,6.75,7.25
1/02/2008,3.25,6.25,6.87,8.00,6.75,7.25
1/03/2008,3.25,6.24,6.87,8.00,6.75,7.25
1/04/2008,3.25,6.22,6.87,8.00,6.75,7.25
1/05/2008,3.25,6.06,6.87,8.00,6.75,7.25
1/06/2008,3.25,6.27,7.25,8.00,7.13,7.25
1/07/2008,3.50,6.34,7.25,8.00,7.13,7.25
1/08/2008,3.75,6.37,7.25,8.00,7.13,7.25
1/09/2008,3.75,6.48,7.25,8.00,7.13,7.25
1/10/2008,3.75,6.86,7.25,8.00,7.13,7.25
1/11/2008,3.75,6.86,7.25,8.00,7.13,7.25
1/12/2008,2.75,6.28,6.75,7.00,6.75,7.25
1/01/2009,2.00,6.17,6.50,7.00,6.50,7.25
1/02/2009,1.50,5.78,6.50,7.00,6.50,7.25
1/03/2009,1.50,5.82,6.25,7.00,6.25,7.00
1/04/2009,1.25,5.80,6.10,7.00,6.15,7.00
1/05/2009,1.25,5.44,5.85,6.75,6.00,7.00
1/06/2009,1.25,5.18,5.85,6.75,5.85,7.00
1/07/2009,1.25,5.17,5.85,6.75,5.85,7.00
1/08/2009,1.25,4.99,5.85,6.75,5.85,7.00
1/09/2009,1.25,5.12,5.85,6.75,5.85,7.00
1/10/2009,1.25,4.97,5.85,6.75,5.85,7.00
1/11/2009,1.25,4.55,5.85,6.75,5.85,7.00
1/12/2009,1.25,4.60,5.85,6.75,5.85,7.00
1/01/2010,1.25,4.51,5.85,6.75,5.85,7.00
1/02/2010,1.25,4.42,5.85,6.75,5.85,7.00
1/03/2010,1.25,4.60,5.85,6.75,5.85,7.00
1/04/2010,1.25,4.31,5.85,6.75,5.85,7.00
1/05/2010,1.25,4.24,5.85,6.75,5.85,7.00
1/06/2010,1.25,4.36,5.85,6.75,5.85,7.00
1/07/2010,1.50,4.39,5.85,6.75,5.85,7.00
1/08/2010,1.75,4.61,6.00,6.75,5.85,7.00
1/09/2010,1.75,4.51,6.00,6.75,6.00,7.00
1/10/2010,1.75,4.49,6.00,6.75,6.00,7.00
1/11/2010,1.75,4.65,6.00,6.75,6.00,7.00
1/12/2010,2.00,4.70,6.00,6.75,6.00,7.00
1/01/2011,2.25,4.61,6.00,6.75,6.00,7.00
1/02/2011,2.25,4.50,6.00,6.75,6.00,7.00
1/03/2011,2.50,4.78,6.00,6.75,6.25,7.00
1/04/2011,2.75,4.75,6.50,6.75,6.38,7.00
1/05/2011,2.75,4.89,6.50,6.75,6.38,7.00
1/06/2011,3.00,5.02,6.88,6.88,6.50,7.00
1/07/2011,3.25,5.06,6.88,6.88,6.75,7.00
1/08/2011,3.50,5.30,7.13,7.13,6.75,7.00
1/09/2011,3.50,5.43,7.25,7.25,6.88,7.00
1/10/2011,3.50,5.68,7.25,7.25,6.88,7.25
1/11/2011,3.25,5.64,7.25,7.25,6.88,7.25
1/12/2011,3.25,5.51,7.25,7.25,6.88,7.25
1/01/2012,3.00,5.24,7.25,7.25,6.88,7.25
1/02/2012,3.00,5.29,7.13,7.25,6.88,7.25
1/03/2012,3.00,5.36,7.13,7.13,6.88,7.25
1/04/2012,3.00,5.21,7.13,7.13,6.88,7.25
1/05/2012,3.00,5.33,7.13,7.13,6.88,7.25
1/06/2012,3.00,5.26,7.13,7.13,6.88,7.25
1/07/2012,3.00,5.22,7.13,7.13,6.88,7.25
1/08/2012,3.00,5.21,7.13,7.13,6.88,7.25
1/09/2012,3.00,5.10,7.13,7.13,6.88,7.25
1/10/2012,2.75,5.10,7.13,7.13,6.88,7.25
1/11/2012,2.75,4.99,7.00,7.13,6.88,7.25
1/12/2012,2.75,5.12,7.00,7.13,6.88,7.25
1/01/2013,2.75,5.11,7.00,7.13,6.88,7.25
1/02/2013,2.75,5.23,7.00,7.13,6.88,7.25
1/03/2013,2.75,5.27,7.00,7.13,6.88,7.25
1/04/2013,2.75,5.07,7.00,7.13,6.88,7.25
1/05/2013,2.50,5.12,7.00,7.13,6.88,7.25
1/06/2013,2.50,4.90,7.00,7.13,6.88,7.25
1/07/2013,2.50,4.80,7.00,7.13,6.88,7.25
1/08/2013,2.50,4.75,7.00,7.13,6.88,7.25
1/09/2013,2.50,4.76,7.00,7.13,6.88,7.25
1/10/2013,2.50,4.98,7.00,7.13,6.88,7.25
1/11/2013,2.25,4.77,7.00,7.13,6.88,7.25
1/12/2013,2.25,4.65,6.88,6.88,6.88,7.25
1/01/2014,2.25,4.71,6.88,6.88,6.88,7.25
1/02/2014,2.25,4.75,6.88,6.88,6.88,7.25
1/03/2014,2.00,4.73,6.88,6.88,6.75,7.25
1/04/2014,2.00,4.58,6.88,6.88,6.75,7.25
1/05/2014,2.00,4.68,6.88,6.88,6.75,7.25
1/06/2014,2.00,4.51,6.88,6.88,6.75,7.25
1/07/2014,2.00,4.66,6.88,6.88,6.75,7.25
1/08/2014,2.00,4.81,6.88,6.88,6.75,7.25
1/09/2014,2.00,4.64,6.88,6.88,6.75,7.25
1/10/2014,2.00,4.62,6.88,6.88,6.75,7.25
1/11/2014,2.00,4.62,6.88,6.88,6.75,7.25
1/12/2014,2.00,4.54,6.88,6.88,6.75,7.25
1/01/2015,2.00,4.45,6.88,6.88,6.75,7.25
1/02/2015,2.00,4.57,6.88,6.88,6.75,7.25
1/03/2015,1.75,4.45,6.75,6.75,6.63,7.00
1/04/2015,1.50,4.47,6.75,6.75,6.63,7.00
1/05/2015,1.50,4.06,6.70,6.75,6.63,7.00
1/06/2015,1.50,4.22,6.70,6.65,6.50,7.00
1/07/2015,1.50,4.27,6.70,6.65,6.50,7.00
1/08/2015,1.50,4.46,6.70,6.65,6.50,7.00
1/09/2015,1.50,4.30,6.70,6.65,6.50,7.00
1/10/2015,1.50,4.38,6.70,6.65,6.50,7.00
1/11/2015,1.50,4.30,6.70,6.65,6.50,7.00
1/12/2015,1.50,4.31,6.70,6.65,6.50,7.00
1/01/2016,1.50,4.14,6.70,6.65,6.50,7.00
1/02/2016,1.50,4.35,6.70,6.65,6.50,7.00
1/03/2016,1.50,4.31,6.70,6.65,6.50,7.00
1/04/2016,1.50,4.01,6.50,6.40,6.25,7.00
1/05/2016,1.50,4.18,6.50,6.40,6.25,6.88
1/06/2016,1.50,4.15,6.50,6.40,6.25,6.88
1/07/2016,1.50,4.18,6.50,6.40,6.25,6.88
1/08/2016,1.50,4.12,6.50,6.40,6.25,6.88
1/09/2016,1.50,4.06,6.50,6.40,6.25,6.88
1/10/2016,1.50,4.14,6.50,6.40,6.25,6.88
1/11/2016,1.50,4.11,6.50,6.40,6.25,6.88
1/12/2016,1.50,4.12,6.50,6.40,6.25,6.88
1/01/2017,1.50,4.10,6.50,6.40,6.25,6.88
1/02/2017,1.50,4.16,6.50,6.40,6.25,6.88
1/03/2017,1.50,4.15,6.50,6.40,6.25,6.88
1/04/2017,1.50,4.21,6.50,6.40,6.25,6.88
1/05/2017,1.50,4.25,6.50,6.25,6.25,6.88
1/06/2017,1.50,3.89,6.50,6.25,6.25,6.88
1/07/2017,1.50,4.03,6.50,6.25,6.25,6.88
1/08/2017,1.50,4.09,6.50,6.25,6.25,6.88
1/09/2017,1.50,4.01,6.50,6.25,6.25,6.88
1/10/2017,1.50,4.14,6.50,6.25,6.25,6.88
1/11/2017,1.50,3.97,6.50,6.25,6.25,6.88
1/12/2017,1.50,3.85,6.50,6.25,6.25,6.88
1/01/2018,1.50,4.01,6.50,6.25,6.25,6.88
1/02/2018,1.50,4.10,6.50,6.25,6.25,6.88
1/03/2018,1.50,4.16,6.50,6.25,6.25,6.88
1/04/2018,1.50,4.20,6.50,6.25,6.25,6.88
1/05/2018,1.50,4.14,6.50,6.25,6.25,6.88
1/06/2018,1.50,4.17,6.50,6.25,6.25,6.88
1/07/2018,1.50,4.13,6.50,6.25,6.25,6.88
1/08/2018,1.50,4.06,6.50,6.25,6.25,6.88
1/09/2018,1.50,4.09,6.50,6.25,6.25,6.88
1/10/2018,1.50,4.11,6.50,6.25,6.25,6.88
1/11/2018,1.50,4.20,6.50,6.25,6.25,6.88
1/12/2018,1.75,3.97,6.50,6.25,6.25,6.88
1/01/2019,1.75,4.05,6.50,6.25,6.25,6.88
1/02/2019,1.75,4.33,6.50,6.25,6.25,6.88
1/03/2019,1.75,4.10,6.50,6.25,6.25,6.88
1/04/2019,1.75,4.12,6.50,6.25,6.25,6.88
1/05/2019,1.75,4.22,6.50,6.25,6.25,6.88
1/06/2019,1.75,4.23,6.50,6.25,6.25,6.88
1/07/2019,1.75,4.12,6.50,6.25,6.25,6.88
1/08/2019,1.50,3.85,6.50,6.13,6.13,6.88
1/09/2019,1.50,4.16,6.50,6.13,6.13,6.88
1/10/2019,1.50,3.96,6.50,6.13,6.13,6.88
1/11/2019,1.25,3.68,6.38,6.00,6.00,6.88
1/12/2019,1.25,3.76,6.38,6.00,6.00,6.88
1/01/2020,1.25,3.83,6.38,6.00,6.00,6.88
1/02/2020,1.00,3.52,6.38,5.88,5.99,6.88
1/03/2020,0.75,3.40,6.28,5.88,5.75,6.88
1/04/2020,0.75,3.56,6.28,5.88,5.75,6.88
1/05/2020,0.50,3.45,6.15,5.75,5.75,6.88
1/06/2020,0.50,3.45,6.15,5.75,5.75,6.75
1/07/2020,0.50,3.19,6.15,5.75,5.75,6.75
1/08/2020,0.50,3.52,6.15,5.75,5.75,6.75
1/09/2020,0.50,3.56,6.15,5.75,5.75,6.75
1/10/2020,0.50,3.63,6.15,5.75,5.75,6.75
1/11/2020,0.50,3.53,6.15,5.75,5.75,6.75
1/12/2020,0.50,3.55,6.15,5.75,5.75,6.75
1/01/2021,0.50,3.45,6.15,5.75,5.75,6.75
1/02/2021,0.50,3.63,6.15,5.75,5.75,6.75
1/03/2021,0.50,3.13,6.15,5.75,5.75,6.75
1/04/2021,0.50,3.06,6.15,5.75,5.75,6.75
1/05/2021,0.50,3.13,6.15,5.75,5.75,6.75
1/06/2021,0.50,2.93,6.15,5.75,5.75,6.75
1/07/2021,0.50,3.02,6.15,5.75,5.75,6.75
1/08/2021,0.50,2.84,6.15,5.75,5.75,6.75
1/09/2021,0.50,2.92,6.15,5.75,5.75,6.75
1/10/2021,0.50,3.10,6.15,5.75,5.75,6.75
1/11/2021,0.50,2.90,6.15,5.75,5.75,6.75
1/12/2021,0.50,2.93,6.15,5.75,5.75,6.75
1/01/2022,0.50,2.82,6.15,5.75,5.75,6.75
1/02/2022,0.50,2.88,6.15,5.75,5.75,6.75
1/03/2022,0.50,2.88,6.15,5.75,5.75,6.75
1/04/2022,0.50,2.74,6.15,5.75,5.75,6.75
1/05/2022,0.50,2.85,6.15,5.75,5.75,6.75
1/06/2022,0.50,2.85,6.15,5.75,5.75,6.75
1/07/2022,0.50,2.80,6.15,5.75,5.75,6.75
1/08/2022,0.75,2.96,6.15,5.75,5.75,6.75
1/09/2022,1.00,3.12,6.15,5.75,5.75,6.75
1/10/2022,1.00,3.18,6.15,5.75,5.75,6.75
1/11/2022,1.25,3.28,6.15,5.75,5.75,6.75
1/12/2022,1.25,3.66,6.15,5.75,5.75,6.75
1/01/2023,1.50,3.58,6.40,6.00,5.75,7.00
1/02/2023,1.50,4.00,6.40,6.00,6.00,7.00
1/03/2023,1.75,3.91,6.40,6.00,6.00,7.00
1/04/2023,1.75,3.96,6.65,6.25,6.25,7.25
1/05/2023,2.00,4.01,6.65,6.25,6.25,7.25
1/06/2023,2.00,4.18,6.90,6.50,6.50,7.50
1/07/2023,2.00,4.15,6.90,6.50,6.50,7.50
1/08/2023,2.25,4.28,6.90,6.50,6.75,7.50
1/09/2023,2.50,4.20,6.90,6.50,6.75,7.50
